time_days,layer,i,j,pressure_psia,sw,sg
0.000000,2,10,6,4790.210307,0.200000,0.000000
0.000000,2,1,7,4790.210307,0.200000,0.000000
0.000000,2,2,7,4790.210307,0.200000,0.000000
0.000000,2,3,7,4790.210307,0.200000,0.000000
0.000000,2,4,7,4790.210307,0.200000,0.000000
0.000000,2,5,7,4790.210307,0.200000,0.000000
0.000000,2,6,7,4790.210307,0.200000,0.000000
0.000000,2,7,7,4790.210307,0.200000,0.000000
0.000000,2,8,7,4790.210307,0.200000,0.000000
0.000000,2,9,7,4790.210307,0.200000,0.000000
0.000000,2,10,7,4790.210307,0.200000,0.000000
0.000000,2,1,8,4790.210307,0.200000,0.000000
0.000000,2,2,8,4790.210307,0.200000,0.000000
0.000000,2,3,8,4790.210307,0.200000,0.000000
0.000000,2,4,8,4790.210307,0.200000,0.000000
0.000000,2,5,8,4790.210307,0.200000,0.000000
0.000000,2,6,8,4790.210307,0.200000,0.000000
0.000000,2,7,8,4790.210307,0.200000,0.000000
0.000000,2,8,8,4790.210307,0.200000,0.000000
0.000000,2,9,8,4790.210307,0.200000,0.000000
0.000000,2,10,8,4790.210307,0.200000,0.000000
0.000000,2,1,9,4790.210307,0.200000,0.000000
0.000000,2,2,9,4790.210307,0.200000,0.000000
0.000000,2,3,9,4790.210307,0.200000,0.000000
0.000000,2,4,9,4790.210307,0.200000,0.000000
0.000000,2,5,9,4790.210307,0.200000,0.000000
0.000000,2,6,9,4790.210307,0.200000,0.000000
0.000000,2,7,9,4790.210307,0.200000,0.000000
0.000000,2,8,9,4790.210307,0.200000,0.000000
0.000000,2,9,9,4790.210307,0.200000,0.000000
0.000000,2,10,9,4790.210307,0.200000,0.000000
0.000000,2,1,10,4790.210307,0.200000,0.000000
0.000000,2,2,10,4790.210307,0.200000,0.000000
0.000000,2,3,10,4790.210307,0.200000,0.000000
0.000000,2,4,10,4790.210307,0.200000,0.000000
0.000000,2,5,10,4790.210307,0.200000,0.000000
0.000000,2,6,10,4790.210307,0.200000,0.000000
0.000000,2,7,10,4790.210307,0.200000,0.000000
0.000000,2,8,10,4790.210307,0.200000,0.000000
0.000000,2,9,10,4790.210307,0.200000,0.000000
0.000000,2,10,10,4790.210307,0.200000,0.000000
0.000000,3,1,1,4800.296272,0.200000,0.000000
0.000000,3,2,1,4800.296272,0.200000,0.000000
0.000000,3,3,1,4800.296272,0.200000,0.000000
0.000000,3,4,1,4800.296272,0.200000,0.000000
0.000000,3,5,1,4800.296272,0.200000,0.000000
0.000000,3,6,1,4800.296272,0.200000,0.000000
0.000000,3,7,1,4800.296272,0.200000,0.000000
0.000000,3,8,1,4800.296272,0.200000,0.000000
0.000000,3,9,1,4800.296272,0.200000,0.000000
0.000000,3,10,1,4800.296272,0.200000,0.000000
0.000000,3,1,2,4800.296272,0.200000,0.000000
0.000000,3,2,2,4800.296272,0.200000,0.000000
0.000000,3,3,2,4800.296272,0.200000,0.000000
0.000000,3,4,2,4800.296272,0.200000,0.000000
0.000000,3,5,2,4800.296272,0.200000,0.000000
0.000000,3,6,2,4800.296272,0.200000,0.000000
0.000000,3,7,2,4800.296272,0.200000,0.000000
0.000000,3,8,2,4800.296272,0.200000,0.000000
0.000000,3,9,2,4800.296272,0.200000,0.000000
0.000000,3,10,2,4800.296272,0.200000,0.000000
0.000000,3,1,3,4800.296272,0.200000,0.000000
0.000000,3,2,3,4800.296272,0.200000,0.000000
0.000000,3,3,3,4800.296272,0.200000,0.000000
0.000000,3,4,3,4800.296272,0.200000,0.000000
0.000000,3,5,3,4800.296272,0.200000,0.000000
0.000000,3,6,3,4800.296272,0.200000,0.000000
0.000000,3,7,3,4800.296272,0.200000,0.000000
0.000000,3,8,3,4800.296272,0.200000,0.000000
0.000000,3,9,3,4800.296272,0.200000,0.000000
0.000000,3,10,3,4800.296272,0.200000,0.000000
0.000000,3,1,4,4800.296272,0.200000,0.000000
0.000000,3,2,4,4800.296272,0.200000,0.000000
0.000000,3,3,4,4800.296272,0.200000,0.000000
0.000000,3,4,4,4800.296272,0.200000,0.000000
0.000000,3,5,4,4800.296272,0.200000,0.000000
0.000000,3,6,4,4800.296272,0.200000,0.000000
0.000000,3,7,4,4800.296272,0.200000,0.000000
0.000000,3,8,4,4800.296272,0.200000,0.000000
0.000000,3,9,4,4800.296272,0.200000,0.000000
0.000000,3,10,4,4800.296272,0.200000,0.000000
0.000000,3,1,5,4800.296272,0.200000,0.000000
0.000000,3,2,5,4800.296272,0.200000,0.000000
0.000000,3,3,5,4800.296272,0.200000,0.000000
0.000000,3,4,5,4800.296272,0.200000,0.000000
0.000000,3,5,5,4800.296272,0.200000,0.000000
0.000000,3,6,5,4800.296272,0.200000,0.000000
0.000000,3,7,5,4800.296272,0.200000,0.000000
0.000000,3,8,5,4800.296272,0.200000,0.000000
0.000000,3,9,5,4800.296272,0.200000,0.000000
0.000000,3,10,5,4800.296272,0.200000,0.000000
0.000000,3,1,6,4800.296272,0.200000,0.000000
0.000000,3,2,6,4800.296272,0.200000,0.000000
0.000000,3,3,6,4800.296272,0.200000,0.000000
0.000000,3,4,6,4800.296272,0.200000,0.000000
0.000000,3,5,6,4800.296272,0.200000,0.000000
0.000000,3,6,6,4800.296272,0.200000,0.000000
0.000000,3,7,6,4800.296272,0.200000,0.000000
0.000000,3,8,6,4800.296272,0.200000,0.000000
0.000000,3,9,6,4800.296272,0.200000,0.000000
0.000000,3,10,6,4800.296272,0.200000,0.000000
0.000000,3,1,7,4800.296272,0.200000,0.000000
0.000000,3,2,7,4800.296272,0.200000,0.000000
